iter	Passed	Remaining
0	1	145
1	2	109
2	2	93
3	3	82
4	4	78
5	4	76
6	5	75
7	6	76
8	7	74
9	8	73
10	8	71
11	10	73
12	11	77
13	12	76
14	13	74
15	13	71
16	14	70
17	14	68
18	15	66
19	16	66
20	17	64
21	17	62
22	18	61
23	18	60
24	19	59
25	20	58
26	21	57
27	22	57
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	33	42
44	34	41
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	45	29
61	46	28
62	49	29
63	50	28
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	61	16
79	62	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
